review_id,neg,neu,pos,compound,stars,product_category,review_text,original_text
zh_0948770,0.273,0.661,0.066,-0.741,1,grocery,"I didn't know it was sweet, but it wasn't good: the sea moss thought it was salty, bought alone, and didn't like it very much.",没想到是甜的，也不好吃。 : 海苔味想着是咸的，凑单买的，结果很不喜欢这个口味。
zh_0200699,0.116,0.884,0.0,-0.2411,1,jewelry,It's not original: I bought it before. It's not the same as before. It's lighter and looser.,不是原装的 : 我之前买过原装的，和我之前的不一样，颜色更浅，而且比较松～
zh_0572569,0.038,0.88,0.082,0.4753,1,wireless,"WIFI's unstable, it's a junk phone brand, and I can't take it for a hungry marketing trip, but WIFI can't get information even if it's on a micro-mail, and if it's a game, it's definitely going to break its impulses, and it's not going to believe it anymore!",小米质量就是渣 : WIFI不稳定，小米就是个垃圾手机品牌，搞饥饿营销说产量上不来，这个我都可以接受，但是WIFI连上了聊个微信也收不到信息，如果用这个玩游戏的话，绝对有想砸了它的冲动，以后不会再相信小米了！！！
zh_0529217,0.139,0.734,0.127,-0.128,1,book,"Disappointment: I went to buy it before I found out that there were no posters. That's too much. If you don't have a poster, it'll be a crack in the book. How can you trust the Amazon?",失望 : 我去买完才发现评论都没海报。 这也太坑了吧，没海报就算了，书还都是折痕裂痕，以后再如何相信亚马逊！再见吧，奉劝后来者谨慎购买
zh_0495163,0.246,0.685,0.069,-0.6597,1,book,"IIB: There's a problem with Amazon management, and the company didn't deliver it to me. And the money's gone. Stupid flow.",二B : 亚马逊的管理有问题，这公司跟本就没送货给我。也把钱打过去了。。。。傻逼流程。。。。。
zh_0872224,0.202,0.732,0.066,-0.7757,1,sports,"You liars lied to me: the shoes you bought last year have been worn for a number of reasons. Take them out this year and look carefully. Do you have a brain? I buy 41, you send me 40?",被你们这些骗子骗了 : 去年买的这双鞋，由于一些原因一直没穿。今年拿出来一穿感觉小，仔细一看，你们有大脑么？我买的41的，你给我发40的？垃圾！
zh_0378999,0.0,0.923,0.077,0.128,1,kitchen,"It's not a concession, it's a foreign quality guarantee, but the bottom thick side wall is thin and it's not a one-size-fits-all.",非常坑 : 买的时候也不是优惠，本以为是国外的质量有保证，但是底厚侧壁很薄，而且不是一体式，总之不推荐购买，算是给大家拔草了
zh_0416666,0.05,0.677,0.272,0.6024,1,pc,I don't want to return a star to send it myself. I trusted the Amazon! But I won't buy anything in Amazon anymore!,欺负中国人！发坏的过来！没良心的亚马逊！ : 质量差得要死！这是欺负中国人吗？发一个坏的过来！连指示灯都不亮！我一颗星都不想给！退货还要自己去寄，是寄到国外！以前我是多么信任亚马逊！但以后，我不会再在亚马逊买东西！！！！！！！！
zh_0530634,0.0,1.0,0.0,0.0,1,book,Why didn't you find it? Where did you send it? Why didn't you find it? Where did you send it?,为什么迟迟不到货？寄到哪里去了也查不到！ : 为什么迟迟不到货？寄到哪里去了也查不到！
zh_0293565,0.0,0.815,0.185,0.6124,1,other,The sound quality: the size of the headphones that my brother buys at the equivalent of the value of the innovation is very different.,音质一般 : 和弟弟买的创新差不多价位的耳机音质差好多
