review_id,neg,neu,pos,compound,stars,product_category,review_text
ja_0704801,0.304,0.696,0.0,-0.5875,1,sports,"It's not bright. - It's not bright at all. - Do you have 1,000 rubens?"
ja_0672113,0.352,0.648,0.0,-0.5041,1,electronics,"Sometimes it's powered, but it's almost useless."
ja_0156218,0.572,0.428,0.0,-0.991,1,automotive,"You can't honestly recommend buying it after buying it, can you? &gt;&gt;What's wrong with it? &gt;&gt;What's wrong with it? &gt;&gt;What's wrong with it? &gt;&gt;What's wrong with it? &gt;&gt;What's wrong with it? &lt;i&gt;It's wrong? &lt;i&gt;It's wrong? &lt;i&gt;It's wrong? &lt;i&gt;It's wrong. &lt;i&gt;It's wrong. &lt;i&gt;i&gt;It's wrong. &lt;i&gt;i&gt;It's wrong. &lt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i:"
ja_0603269,0.129,0.851,0.02,-0.8542,1,toy,"It was a bad-looking item. &gt;&gt;I was attracted by the appearance of M45A1, but the box of goods was bent. &lt;i&gt;It didn't happen to hit anything at all at 10 meters in the room. &lt;i&gt;If I adjusted it out in the open, it wouldn't make sense. &lt;i&gt;If I looked into the barrel when I looked at it, it wouldn't be stable! &lt;i&gt;If I looked at it, it'd be strange and heavy in the ink. &lt;i&gt;If I asked Tokyo wasn't sure if it wasn't stable, I'd like to send it out to me. &lt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i:"
ja_0774396,0.203,0.797,0.0,-0.4215,1,electronics,"It broke within a month: within a month, I couldn't hear anything on the right."
ja_0465296,0.302,0.651,0.047,-0.9382,1,wireless,"A false theory: Perhaps it's a fake, but iface bought it on the official market. Inside that case there was a real mark, but what we bought this time contained a well - warned fake mark. I don't know if it's really fake, but 90 percent think I'm a fake."
ja_0267370,0.159,0.726,0.116,-0.4404,1,drugstore,"Bad stuff: less than a week before it was used, the other side of the credit card holder could only say it was the bad stuff that pops out like a picture of every card in the store."
ja_0395254,0.1,0.857,0.043,-0.3527,1,automotive,"A foam zero?: No matter how many days that was used to install it, it didn't go away. The bubble zero is a lie, didn't it?"
ja_0549161,0.03,0.783,0.187,0.7041,1,camera,"Different from the image: like other reviews, the shape inside is different from the image. It's not a water-colored strike, it's the shape of an orange zigzaza. I'm sorry that the water-colored strike was good and I bought the right image."
ja_0612204,0.059,0.941,0.0,-0.2846,1,kitchen,"I don't have access to any contacts during the first day of the failure, but after a few hours, I couldn't turn off the wind, I couldn't turn off the switch, and I kept running until the battery ran out."
