review_id,stars,product_category,review_text,original_text
ja_0704801,1,sports,"It's not bright. - It's not bright at all. - Do you have 1,000 rubens?",明るくない。 : 全然明るくない。1000ルーメンあるか？
ja_0672113,1,electronics,"Sometimes it's powered, but it's almost useless.",… : 時々電源はつきますがほとんど使えず 不良品ですね 返品しました
ja_0156218,1,automotive,"You can't honestly recommend buying it after buying it, can you? &gt;&gt;What's wrong with it? &gt;&gt;What's wrong with it? &gt;&gt;What's wrong with it? &gt;&gt;What's wrong with it? &gt;&gt;What's wrong with it? &lt;i&gt;It's wrong? &lt;i&gt;It's wrong? &lt;i&gt;It's wrong? &lt;i&gt;It's wrong. &lt;i&gt;It's wrong. &lt;i&gt;i&gt;It's wrong. &lt;i&gt;i&gt;It's wrong. &lt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i:",不良品？ : 購入後取り付けたが何と1日で片方が切れた(笑) 購入は正直お薦めは出来ないですね…… これってLEDだよね… どうなってる？
ja_0603269,1,toy,"It was a bad-looking item. &gt;&gt;I was attracted by the appearance of M45A1, but the box of goods was bent. &lt;i&gt;It didn't happen to hit anything at all at 10 meters in the room. &lt;i&gt;If I adjusted it out in the open, it wouldn't make sense. &lt;i&gt;If I looked into the barrel when I looked at it, it wouldn't be stable! &lt;i&gt;If I looked at it, it'd be strange and heavy in the ink. &lt;i&gt;If I asked Tokyo wasn't sure if it wasn't stable, I'd like to send it out to me. &lt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i:",ハズレ個体 不良品でした : M45A1の外見に惹かれて購入しましたが商品の箱が凹んでました。（ここで嫌な予感） 気を取り直して室内10mで撃っても全く的に当たらない…野外でHOP調整しても弾はバラつきまくり…HOPが安定しない！これはさすがにおかしいと重いインナーバレルクリーニング時にバレルの中を覗いてみると なんと！インナーバレルの中に凹みの傷がついてました。 弾道が安定しないのは この傷が原因だったみたいです。 東京マルイに問い合わせたら初期不良として東京マルイに送ってくれとのこと。 せっかく予約して買って おまけに箱出しで これじゃあ…がっかりですね。楽しみにしていたので 残念です。 しかし外見の完成度はいいですよ。綺麗なマットのタンカラーで重みもあり ずっしりきます。 おもちゃ感を感じさせない重量です。 リコイルも旧ガバメント 系と比べると少し強くなってる気がします。
ja_0774396,1,electronics,"It broke within a month: within a month, I couldn't hear anything on the right.",1か月以内に壊れた : 1ヶ月ももたず、右側が全く聞こえなくなりました。
ja_0465296,1,wireless,"A false theory: Perhaps it's a fake, but iface bought it on the official market. Inside that case there was a real mark, but what we bought this time contained a well - warned fake mark. I don't know if it's really fake, but 90 percent think I'm a fake.",偽物説 : もしかすると、偽物かもしれません。 前回使っていた、iface は公式通販で購入致しました。そちらのケースの内側には本物のマークが書いてありましたが、今回購入したものには、よく注意喚起されている偽物のようなマークが入っていました。本当に偽物かどうかはわかりませんが、9割私は偽物だと思っています。
ja_0267370,1,drugstore,"Bad stuff: less than a week before it was used, the other side of the credit card holder could only say it was the bad stuff that pops out like a picture of every card in the store.",悪質品 : 使って１週間も立たないうちに カードの収納口の反対側が カードの出し入れの度に 写真のように飛び出してくる 悪質品としか言い様がない もう一個プレゼントとか こんなん不良品送っておいて 当たり前やと思った
ja_0395254,1,automotive,"A foam zero?: No matter how many days that was used to install it, it didn't go away. The bubble zero is a lie, didn't it?",気泡ゼロ？ : 取り付けに使用した吸盤の跡(気泡)が何日たっても消えませんでした。気泡ゼロはウソですね。
ja_0549161,1,camera,"Different from the image: like other reviews, the shape inside is different from the image. It's not a water-colored strike, it's the shape of an orange zigzaza. I'm sorry that the water-colored strike was good and I bought the right image.",画像と違う : 他の方のレビューにもあるように、中の柄が画像と違います。水色ストライプではなくオレンジのギザギザの柄でした。 水色のストライプが良くて購入したのに残念です。 正しい画像を載せて欲しいです。
ja_0612204,1,kitchen,"I don't have access to any contacts during the first day of the failure, but after a few hours, I couldn't turn off the wind, I couldn't turn off the switch, and I kept running until the battery ran out.",故障時の連絡先が不明 : 使い始めの初日、快適に使用していましたが、数時間経ったら風量切り替えスイッチが効かなくなり、スイッチｏｆｆもできず、バッテリーが切れるまで稼働し続けました。（バッテリーのもちは概ね説明どおりでした。） 以降、充電してもスイッチは入らず。メーカーに連絡しようと説明書を見ても、「製品を破損した場合は、カスタマーサービスに連絡してください。」と書いてありながら、連絡先の記載がありません。（外箱にも） 稼働中はいい買い物をしたと思っただけに残念です。
ja_0971549,1,wireless,"You can see a message saying that you can't charge anything with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with anything, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can't charge with your iPhone, you can've got your iPhone.",商品説明はうそうでした : iPhoneの充電のするために買ったものですがApple製品なら全て使えないです.iPhoneでもiPadでも何をし投げても充電できませんってメッセージが表示されます ちなみに充電して見たには: iPad AirとiPhone6とiPhone6s＋とiPhoneX いずれも充電出来ませんでした もちろん使ったケーブルはapple純正品です
ja_0410020,1,office_product,"English and Chinese only: The instructions were only in English and Chinese. I can't imagine how well they would work with the first precision settings, but I can only explain English or Chinese with four buttons. I think I'm going to be annoyed if I don't know how to use English or Chinese.",English&Chinese only : 説明書が英語と中国語だけだった。最初の精度設定等をイラストで予想しながらしたが、上手く出来てるのかわからない。 ４つあるボタンの操作方法も全て英語か中国語の説明しかないので、英語か中国語が堪能な方でないとムカつくと思います。 返品の手続きを始めました。
ja_0303438,1,wireless,"Sorry, I thought it could be used because it's pure, but the earphone didn't make any noise at all.",残念 : 純正なので使えると思いましたがイヤホンからはまったく音がせず本体から音が出ていました。
ja_0873121,1,electronics,"In three days after you bought it, it was no use. You bought it as a USB DAC, so in about three days after you bought it, you couldn't hear anything but noise and noise.",購入後３日で使い物にならなくなりました。 : PCで音楽を聞いたりするので、USB DACとして購入。 購入後３日ほどで爆音ノイズが流れノイズ音以外なにも聞こえなくなりました。（連続使用５～１０時間くらい） しばらく時間を置いて再度使用すると直りますが、１時間ほど使ったらまた爆音ノイズ。 不良品だと思うので対応してもらえるとは思いますが、現状では☆１です。
ja_0923131,1,drugstore,"There's a lot of damage, but there's a lot of damage to the product that I've been looking forward to, and there's a lot of damage to my birthday gift card, so I'm really uncomfortable buying it.",傷だらけ : 交換も返品も結構ですが 届いた商品は傷だらけでした 楽しみにしてましたが すごく不愉快な気分になるぐらい たくさんの傷がありました 誕生日プレゼントにAmazonのギフトカードをいただいたからせっかく購入したのに 本当にすごく不愉快です 二度とAmazonで買い物はしません
ja_0265133,1,electronics,"I was invited to buy a set with my body, but I realized that I couldn't fit in the charge case without wearing it.",ケースに収まらず！ : Amazonで一緒にいかがですか？と本体とのセット購入を勧められてウッカリ購入しましたが、これを装着したままでは充電ケースに収まらないということに気づきました。イヤホンがすぐに落ちて仕方ない人は面倒でもこういうものを使った方がいいのかも知れませんが私には無駄な買い物でした。使わずにポイ、です（泣）。
ja_0160171,1,home,"It's amazing. I've been able to buy it for less than other products, but from the moment I use it, I measured the temperature of the tanbler surface inside the room at 24 degrees outside.",結露が凄いです。 : 他社製品より安いために購入させて頂きましたが、使用した時点からタンブラーの表面が冷たいため外気温24度の室内でタンブラー表面の温度を計測したところ0.4度でした。 因みに持っていた他社製タンブラーで同様に計測したところ22度でした。 他の方の様な評価が何故出るのか不思議です。
ja_0790246,1,wireless,"Not good at all. A package that makes you think it's Japanese made, but the content of a person's introduction to the film is so bad that it's on the back of the package until it's ready, and it's funny.",全く良くない : 一瞬日本製かと思わせるパッケージだが、中身は粗悪な中国製のフィルム。 藤井って人の紹介文と、このフィルムができるまでの経緯がパッケージ裏に記載されているが、その文章が日本語下手くそで面白い。 謎の日本人藤井、誰だよｗｗｗ 藤井さんとやらが中国で彫刻の店をやっていて、友人がスマホを落としてフィルムが破れて、急に「藤井さん！携帯のフィルムを作れるか？」と言いだし、出来たのがこのフィルムだそうですよ。 なんで彫刻家が急にフィルム作るんだよｗｗｗ ほかにも設定ガバガバで笑わずにはいられない。 商品としては、 貼りにくい。 指紋や汚れがつきやすい。 その汚れが落ちにくい。 柔らかいビニールのようで、強く押すとたわんで剥がれる。 画面に傷はつかないが、フィルムにすぐ跡や傷がつく。 透明度が高いのは良い。汚れるけど。 三枚入ってるってことは、貼り付けに失敗したり、すぐ駄目になったりすることが前提なのだろうなと思う。 工匠藤井、覚えた。 二度と買わない。
ja_0548389,1,sports,"Just industrial waste: If you can't connect to your phone, you can't buy a watch because you want to use it for exercise, but you didn't recognize whether your app download QR code was poor or not. So you typed the URL in the browser, but eventually you download the app from GooglePlay from the beginning.",スマホに接続できなければ、時計にもならないただの産業廃棄物 : 運動時に使用したくて購入。 マニュアル（すべて英語）にアプリダウンロード用のQRコードがついていますが、 粗いせいか認識しませんでした。 仕方ないのでブラウザでURLを打ち込みましたが、 結局はGooglePlayからアプリをダウンロードします（最初からそう書いてほしい）。 アプリの操作に従ってBluetoothで接続。 しかしすぐに切断してしまいました。何回やっても同じ結果ですね。 アプリからアクティベーションできないと時計の時刻合わせすらできないので使い物になりません。 あきらめて家電量販店で軽量な時計を買いました。 安物買いの銭失いになるリスクを避けるためにも スマホ接続に不安な方は別の選択肢も検討したほうが良いです。
ja_0708817,1,digital_ebook_purchase,"Not type: I took this book because I wanted to build up the skill to explain it to my boss, but I didn't take it for granted. The seven ""types"" in this book are just seven tricks instead of the sequence of instructions and selections.",型ではない : 上司に対して端的に説明するスキルを上げたいと思い、この本を手に取ったのですが、失敗しました。 本書に書かれている7つの「型」は説明の順番や取捨選択といったフレームワークではなく、単なる7つのコツにすぎません。比喩を使うことや目的を示すこと、聴講者の興味を引くことなどは、持つべき心構えとして当然のことではありませんか！ また不必要なイラストが過剰に盛り込まれていますが、本書で言いたいことは太字の箇所だけを読めば十分で、15分で理解・読了できます。価格に対して内容の密度があまりに小さすぎると感じました。
ja_0665398,2,video_games,"The answer is that Amazon is too good to be true, is psvr a good thing, that you emailed the code when you asked him if he didn't get the code, but is Amazon side mistaken for ps4 campaign code?",Amazonが適当すぎる : psvrは良い物ですか 霊峰富士のコードが届かない 問い合わせるとコードをメールしたとの回答てしたが Amazonサイドがps4のキャンペーンコード と 勘違いしているのか？
ja_0058485,2,beauty,It was a disappointment.,期待外れでした。 : 直接塗れるので便利です。ただ…ベタベタするのが残念です。
ja_0880755,2,kitchen,"There were no instructions, no warrants, no warrants: The goods arrived immediately after buying them, but I still don't know how to use them without any instructions or warrants, it's not cheap, it's electric, it's electric, so I'm sure I'm more comfortable buying them at the house-to-house shop than at home.",説明書も保証書もなかった : 購入してすぐに商品が届きましたが何の説明書も保証書もなく未だに使い方がよくわかりません、安い商品ではなく電化商品なので日本語の説明書と保証書が必要です、多少高くついてもやっぱり家電は巷の家電ショップで買った方が安心です。
ja_0649071,2,kitchen,"There are bad products: 1 of 3 points in which the remote control doesn't work, but it's a little regret. If you ask me to do it again, I'll hesitate to order another order. I think it's nice if the structure of the dynamic part isn't interesting and bad.",不良品あり : 3点中1点がリモコンが効かず交換を依頼しようにも返品対応のみ。少し残念でした。 次に頼んでまた不良品だったらと思うと再度の注文も躊躇っています。 ゆらゆら部分の構造が面白く、不良品でさえなければ雰囲気は良いと思います。
ja_0682556,2,toy,"And I thought, ""Well, I'm not sure if I'm going to do this, but I'm going to do this.""",思ってはいたけど・・・ : 其々の木材の長さが均一ではないから、ほんとにモザイク壁画を作るのには適しているかも
ja_0201418,2,sports,"Color bald: I opened it right after it got here, but I'm a little sad that it's a little pale like the image. But it's very nice when it comes to sound, isn't it?",色ハゲ : 届いてすぐ開けてみたのですが、画像のように色が禿げてて少し残念です。 でも音に関してはとても素敵ですねｯ
ja_0206368,2,grocery,"It's like, you know, it's like, you know, a little bit of black sugar in a lump of black sugar -- it's too sweet -- it's like black sugar, just like everyone else said.",黒糖の塊に胡桃が入っている感じです : 甘過ぎでした❗他の方も言っていた通り、黒糖かけすぎのような感じです😅 もう少し胡桃本来の味が欲しかったです😣
ja_0653380,2,drugstore,"Delicate: It might be good in the room, but when you wear it outside, the cold air has cooled the twits themselves, and the other way around, it's cold.",微妙 : 室内では良いかもしれませんが、屋外で履くと冷たい空気でタイツ自体が冷たくなり、逆に冷えてしまいました。
ja_0293920,2,automotive,"It broke down immediately: This is the first time we've bought a mirror type because of an existing Drareco malfunction, so the power has been connected to the regular power source that it takes out of conventional fuses, so the front camera can be used immediately by attaching it to a mirror. If you put a back camera on a weekend's holiday, and you put it out of the building from inside the building, and you put it out of the building. When the installation is finished, the back camera's contact is so bad that it doesn't work properly.",直ぐに壊れました : 既存のドラレコが不調の為、今回初めてミラータイプを購入。 電源は従来のヒューズから取り出している常時電源に接続したので、ミラーに取り付けるだけで直ぐにフロントカメラは使用可能に。 週末の休日にバックカメラを設置。 バックランプから電源を分岐した段階でテストしてみると、問題なく映像が表示できたので、リアシートから内張りから外して本設置。 設置が完了して確認すると、バックカメラの接触が悪くて写ったり消えたり・・・ ミラーのコネクタ接触が悪い様なので、何度か抜き差ししている内に全く写らない状態に。 バックにギアを入れるとカメラのＬＥＤは正しく点灯するので、十中八九ミラーコネクタ部分の問題。 安いだけに仕方無いか・・・ 時間をかけてバックカメラの取り付けと配線引き込みを行いましたが、一度もバックカメラを使用できないままフロントのみのレコーダーとなりました。
ja_0220709,2,kitchen,"Before going to bed: When I went to bed, I got up and I was surprised by the bicho.",寝る前に : つけて寝ると、起きたときに周りがビチョビチョでびっくりしました。
ja_0851117,2,home_improvement,"The wires are fine and hard to use for amateur maneuvers: It seems to work properly for a pressurized lubricant, but it wasn't able to connect well with a simple man. It seems that you have to connect properly.",導線が細く素人工作では使いにくい : 圧電素子としては適切に機能している様なのですが、素人工作では導線が細くてうまくつなぐことができませんでした。 きちんとはんだとかで接着しないとダメなようです。
ja_0059535,2,kitchen,It's a tough fight when you get out of the box and you're in trouble.,イルミネーション : 箱から出したらグチャグチャになって ほどくのに、悪戦苦闘です。 もっと簡単にほどけていたらいいのに…
ja_0352054,2,wireless,"In clothing, I think it's nice, but it's also great for women. Isn't it a man? Is it a man? Is it a man? Is it a man? Is it a man? Is it a man? Is it a man? Is it a man? I'm looking for a bluetoobox for running for running, but I can get it right away? I'm disappointed. I tell you, I'm not looking for any human engineering, but I want you to think about how long the code is going to work.",服で言えば、メンズM.Lサイズでがっかり : 物としてはいいものだと思います。 音もいいです。 ただ、やはり女性には全体的に作りが大きいです。レビューは、みんな男性なんでしょうか？ 首回りもフィットしないし、耳までのコードも長すぎです。 ランニング用のBluetoothイヤホン探していますが、 こんなんで走ったらすぐ取れます。 がっかりです。 もうアマゾンで探すのはやめます。 人間工学云々言ってますが、それなら、コードの長さ調整できるとか、考えて欲しいです。 でも今までに買った中では一番軽いし、一応通勤なら使えます。
