review_id,neg,neu,pos,compound,stars,product_category,review_text
fr_0383218,0.301,0.699,0.0,-0.8017,1,book,bof : No morality and history ! Just a few pages with headlines without any sense... Big disappointment ! I do not recommend this product at all.
fr_0234497,0.0,1.0,0.0,0.0,1,jewelry,Still not received: I can't tell you anything about the product because I still haven't received it!!!
fr_0632886,0.301,0.699,0.0,-0.8227,1,beauty,"Disappointed: Disappointed the colors are not those ordered, the cover is not good and the varnish does not know under the led lamp."
fr_0877487,0.087,0.913,0.0,-0.296,1,wireless,Back shell code: Hello you sent me a label to return the product but the empty bar is not valid so I do not return it
fr_0881626,0.268,0.732,0.0,-0.296,1,wireless,No one: I am not received my order
fr_0708800,0.0,1.0,0.0,0.0,1,home_improvement,Delivery: Again the parcel was not delivered to the correct address
fr_0144301,0.118,0.882,0.0,-0.3828,1,lawn_and_garden,"does not fit: it is a shame, but connection is not possible. I think in presentations advertisers should show the connectors, there are circles, squares but it is never mentioned accurately;"
fr_0171262,0.059,0.8,0.141,0.7595,1,wireless,"Bug of the watch: The watch itself is good and simple to use, only after 5-6 uses it bugged on the recording of a course, and some time after it started to turn off all alone and impossible to keep it on for a few seconds. So necessarily disappointed. The seller who says he will do everything to find a solution then does not give any news... Thanks instead to the Amazon VAS for the proposal to return after 30 days. Effective VAS"
fr_0849958,0.0,0.888,0.112,0.721,1,jewelry,"far too big!!!! : After several contacts for the trimming, I returned the bracelet. The VAS is completely non-existent! Deaf communications! To believe that they wait for the deadline of return to not assume their lack of competence... I do not advise you this seller !! a local jewelery will offer you a better service."
fr_0967962,0.249,0.605,0.146,-0.2603,1,wireless,Bad quality: Shell that is not solid at all and takes off easy Lifespan 1 month
fr_0127910,0.124,0.876,0.0,-0.4767,1,jewelry,Shame : Everything except real stone as explain in detail when buying are only a simple glass ball with a detailed fastener modify that I could notice
fr_0571651,0.0,1.0,0.0,0.0,1,beauty,Article never received... : Article never received...
fr_0464469,0.165,0.729,0.106,-0.6223,1,home,"Very disappointed: Plastic of poor quality. The bottom of the cabinet is not even rigid, it would have put a piece of cardboard there would not be worse. Be careful not to hit the plastic. I put a star for delivery for the rest, I do not recommend."
fr_0802178,0.0,0.912,0.088,0.4404,1,wireless,Waiting for my second delivery. : I'm still waiting for my drink because the first one wasn't the right one. I hope the second one will be the right one. In the meantime....
fr_0306591,0.0,1.0,0.0,0.0,1,wireless,"Connected watch: Already open packaging, back to sender."
fr_0073229,0.074,0.875,0.052,-0.1406,1,drugstore,"Error in product ad text: Be careful, I have received this pipe but it is not automatic, it is only manual of or a requested return."
fr_0349194,0.243,0.683,0.074,-0.6639,1,home,parcels not received: parcels lost or not delivered or left on letter boxes and parcels stolen by others damage to me
fr_0405611,0.248,0.602,0.15,-0.5989,1,luggage,completely disappointed: The bag itself is pretty but I had to wash it before using it result at the level of the torn straps (see picture) so I do not recommend at all.... Considering the super disappointed price
fr_0497438,0.185,0.76,0.055,-0.7821,1,pet_products,"Pass your way!! : Very disappointed, the material is very fragile, my dog made small pieces of it! Very expensive for a toy that lasted not even an hour!! Too bad because the concept of the stick in which one can hide treats was a good idea..."
fr_0010043,0.224,0.776,0.0,-0.6983,1,kitchen,Mini fryer : False advertising. No removable tank. I had bought it for this reason so big disappointment. Plus the lid does not close
fr_0193841,0.316,0.661,0.023,-0.9784,2,electronics,"Charger that no longer works: The headphones are good but when, for example, you lower the sound the headphones emit a loud enough noise that is quite unpleasant but the big problem is that I can no longer use them because the charger no longer works and I can't find where to buy the same without buying the headphones so very disappointed with the poor quality of the charger"
fr_0222953,0.452,0.548,0.0,-0.5096,2,book,Bof : Not a great quality. small
