review_id,stars,product_category,review_text,original_text
fr_0383218,1,book,bof : No morality and history ! Just a few pages with headlines without any sense... Big disappointment ! I do not recommend this product at all.,bof : Aucune moralité et histoire ! Juste des quelques pages avec des grands titres sans aucun sens... Grosse déception ! Je ne recommande pas du tout ce produit.
fr_0234497,1,jewelry,Still not received: I can't tell you anything about the product because I still haven't received it!!!,Toujours pas reçu : Je ne peux rien vous dire sur le produit car je ne l'ai toujours pas reçu !!!
fr_0632886,1,beauty,"Disappointed: Disappointed the colors are not those ordered, the cover is not good and the varnish does not know under the led lamp.","Déçue : Déçue les coloris ne sont pas ceux commandés, la couvrante n'est pas bonne et le vernis ne sache pas sous la lampe led."
fr_0877487,1,wireless,Back shell code: Hello you sent me a label to return the product but the empty bar is not valid so I do not return it,Retour code de la coque : Bonjour vous m'avez envoyer un étiquette pour retourner le produit mais le vide bar n'est pas valide donc je ne pas le renvoyer
fr_0881626,1,wireless,No one: I am not received my order,Nul : Je n'est pas reçu ma commande
fr_0708800,1,home_improvement,Delivery: Again the parcel was not delivered to the correct address,Livraison : Encore une fois le colis n'a pas été livré à la bonne adresse
fr_0144301,1,lawn_and_garden,"does not fit: it is a shame, but connection is not possible. I think in presentations advertisers should show the connectors, there are circles, squares but it is never mentioned accurately;","ne convient pas : c' est dommage, mais la connexion n' est pas possible . je pense que dans les présentations les annonceurs devraient montrer les connecteurs , il y en a des ronds, des carrés mais ce n' est jamais mentionné avec précision ;"
fr_0171262,1,wireless,"Bug of the watch: The watch itself is good and simple to use, only after 5-6 uses it bugged on the recording of a course, and some time after it started to turn off all alone and impossible to keep it on for a few seconds. So necessarily disappointed. The seller who says he will do everything to find a solution then does not give any news... Thanks instead to the Amazon VAS for the proposal to return after 30 days. Effective VAS","Bug de la montre : La montre en elle même est bien et simple d'utilisation, seulement au bout de 5-6 utilisations elle a buggé sur l'enregistrement d'un parcours, et quelques temps après elle s'est mise à s'éteindre toute seule et impossible de la garder allumée quelques secondes. Donc forcément déçu. Le vendeur qui dit qu'il va tout faire pour trouver une solution puis ne donne pas de nouvelle... Merci par contre au SAV de Amazon pour la proposition de retour après les 30 jours. SAV efficace"
fr_0849958,1,jewelry,"far too big!!!! : After several contacts for the trimming, I returned the bracelet. The VAS is completely non-existent! Deaf communications! To believe that they wait for the deadline of return to not assume their lack of competence... I do not advise you this seller !! a local jewelery will offer you a better service.","beaucoup trop grand !!!! : Après plusieurs contacts pour la mise à la taille, j'ai renvoyé le bracelet. Le SAV est complètement inexistant ! des communications de sourds ! A croire qu'ils attendent la date limite de retour pour ne pas assumer leur manque de compétence... je ne vous conseille pas ce vendeur !! une bijouterie de proximité vous offrira un meilleur service."
fr_0967962,1,wireless,Bad quality: Shell that is not solid at all and takes off easy Lifespan 1 month,Mauvaise qualité : Coque qui est pas du tout solide et se décolle facile Durée de vie 1 mois
