review_id,neg,neu,pos,compound,stars,product_category,review_text
es_0945371,0.104,0.896,0.0,-0.296,1,drugstore,Eye on what comes: I got ONE on when I had ordered a box but the amount charged was for a box. I returned it.
es_0818415,0.231,0.769,0.0,-0.765,1,home_improvement,"Distress : Distressful, it has not worked 3 seconds literal, the mandrel is loose..I have just made the return and I never buy anything of this brand."
es_0554663,0.0,0.956,0.044,0.25,1,home,The package was a little corked envelope and we got chafed. We stayed because it was already late to arrive and we didn't have time to make the change. I had to buy another one and disassemble this one to take advantage of the light throws.
es_0112077,0.302,0.698,0.0,-0.6705,1,digital_ebook_purchase,"Childish, superficial : I've been bored enough... I haven't even finished it. I thought it was a rather childish and unrealistic story."
es_0132443,0.224,0.776,0.0,-0.4391,1,other,I'm late. I'm not here on the date. I'm very upset.
es_0662136,0.062,0.848,0.09,0.246,1,book,"Endless wait : I have been more than a month and the book is still not coming, I do not recommend buying by amazon.es. Instead amazon.com is much more efficient and has many more products"
es_0664232,0.143,0.857,0.0,-0.1695,1,furniture,Longer : It was longer than mine and it wasn't worth me
es_0752002,0.0,0.849,0.151,0.431,1,beauty,It's not what I expected: They don't last any bad quality they break and the figure comes out
es_0216155,0.054,0.946,0.0,-0.2755,1,wireless,"It does not match the image : It is advertised as ""Screen Protector for Xiaomi Redmi Note 5"", with an image that does not correspond to the sent protector. It also does not fit properly to the mobile screen."
es_0376705,0.176,0.824,0.0,-0.746,1,wireless,Uncomfortable : It does not fit well and when you write it you notice that there is air between the screen and the front housing with which the touch of the screen does not react well. It is also filled very quickly with dust.
es_0385478,0.903,0.097,0.0,-0.8519,1,wireless,Useless : A scam is useless.
es_0470884,0.137,0.694,0.17,0.4427,1,shoes,Don't buy! : Comfortable. But feet sweat a lot and at the end - mushrooms. Just to go in the bathroom. Not recommended! Too bad!
es_0698310,0.16,0.807,0.033,-0.7355,1,sports,"Quality 0, a robbery! : I didn't like anything, zero quality looks like this all stuck glue and it's silicone, it carries a double-faced tape you paste it and then you put it on and I had to remove it it stays loose it doesn't stick anything, and for what it is worth it is a robbery!"
es_0968808,0.144,0.766,0.089,-0.486,1,kitchen,"I arrived broken. : I arrived broken... The top lid was open and could not be closed. When I wanted to change it for another, the price in Amazon had changed and they did not respect the initial."
es_0476280,0.04,0.738,0.222,0.8126,1,pc,"Product with wrong operation : It looks like a good product if it works well. Being in your hands works a thousand wonders, but if you support it on the table and try to handle the touchpad, it does not work. Ada well, and make clicks ""ghost"""
es_0102115,0.538,0.462,0.0,-0.8885,1,automotive,"Tear the scam : It has arrived broken, the quality rubs the scam"
es_0533459,0.079,0.895,0.026,-0.5859,1,camera,"Disappointed with transport : I have arrived without packaging, the box of the frame with stickers directly attached. I am surprised. Nor was it closed hermetic, that is, with a small piece of tape without much security.. We do not know if it has been opened along the way or manipulated... It does not seem correct. The star is for this reason because I have not tried it yet. Dissatisfied with the transport."
es_0869801,0.162,0.838,0.0,-0.4767,1,wireless,Poor Quality : After putting the protector I see that in short time it breaks with the following crack
es_0721300,0.0,1.0,0.0,0.0,1,drugstore,It does not meet objective : I do not notice its supposed effects.
es_0602444,0.057,0.809,0.134,0.556,1,home,"I don't know because I never get it: it has to be very nice vinyl, because of the drawings that are seen because I have never had it in my hand, I don't trust this seller, he has kept the money and I haven't seen anything"
es_0372538,0.054,0.946,0.0,-0.1511,2,toy,Not recommended : I bought this product and I had to change it twice because there was always some dry marker... In the end I chose to return it and buy another brand.
es_0328403,0.0,0.868,0.132,0.3804,2,apparel,Smaller size than the xxl : It is very fair and the fabric is not at all a bit elastic
es_0174403,0.022,0.952,0.027,0.0772,2,baby_product,"Narrow : Bed barrier for bed of 90cm. It is well high, but it is rather narrow. I have another q is almost double wide. Besides it has some buttons q you can go down and up. This, besides being narrow, does not go up and down, it is fixed. If I had seen it before buying it, I would buy another one."
es_0771392,0.029,0.852,0.119,0.6538,2,home,It has broken. : After less than 6 months of use (once or twice a week) the zipper has broken.I am a pretty careful person with my things and at first I was very happy with the service that offered me but when breaking the main zipper I am not going to use it.I do not know if there is guarantee on the part of the brand or how it works.
es_0221835,0.088,0.912,0.0,-0.2755,2,wireless,Little or almost zero battery : I didn't like the little battery it has. And you always have to have it connected to the current
es_0805191,0.179,0.767,0.053,-0.6597,2,wireless,The warranty does not answer : Within a few days the coloration of the screen failed. I have communicated it to vds. I have made a complaint to the seller (English company). To date no one has responded to give any solution.
es_0524365,0.0,0.617,0.383,0.4767,2,pc,"Fragile : Maintains compatibility, but breaks easily"
es_0308931,0.15,0.85,0.0,-0.6931,2,wireless,It broke the first day : On the first day I put the cover one of the magnets fell and the cover didn't close well. so the phone fell. I also thought it also had protector on the screen and it wasn't like that.
