review_id,stars,product_category,review_text,original_text
es_0945371,1,drugstore,Eye on what comes: I got ONE on when I had ordered a box but the amount charged was for a box. I returned it.,ojo con lo que llega : me llego UN sobre cuando yo habia pedido una caja pero el importe cargado era por una caja. lo he devuelto.
es_0818415,1,home_improvement,"Distress : Distressful, it has not worked 3 seconds literal, the mandrel is loose..I have just made the return and I never buy anything of this brand.","Penoso : Penoso,no ha llegado a funcionar 3 segundos literal,el mandril està suelto..acabo de cursar la devolución y noe compro nada de esta marca nunca."
es_0554663,1,home,The package was a little corked envelope and we got chafed. We stayed because it was already late to arrive and we didn't have time to make the change. I had to buy another one and disassemble this one to take advantage of the light throws.,A llegado chafada : el embalaje era un sobre un poco acorchado y nos a llega chafada. Nos la hemos quedado porque ya avía tardado en llegar y no teníamos tiempo de hacer el cambio. he tenido que comprar otra y desmontar esta para aprovechar las tirar luminosas.
es_0112077,1,digital_ebook_purchase,"Childish, superficial : I've been bored enough... I haven't even finished it. I thought it was a rather childish and unrealistic story.","Infantil, superficial : Me ha aburrido bastante... no he llegado ni a terminarlo. Me ha parecido una historia bastante infantil y poco realista."
es_0132443,1,other,I'm late. I'm not here on the date. I'm very upset.,"Mucho retraso : No llego en fecha indicada,estoy muy molesta"
es_0662136,1,book,"Endless wait : I have been more than a month and the book is still not coming, I do not recommend buying by amazon.es. Instead amazon.com is much more efficient and has many more products","Espera interminable : Llevo mas de un mes y aún no llega el libro, no recomiendo comprar por amazon.es. En cambio amazon.com es mucho más eficiente y tiene muchísimos más productos"
es_0664232,1,furniture,Longer : It was longer than mine and it wasn't worth me,Mas largo : Era mas largo que el mio y no me valía
es_0752002,1,beauty,It's not what I expected: They don't last any bad quality they break and the figure comes out,No es lo q esperaba : No duran nada mala calidad se ropen y se sale la figura
es_0216155,1,wireless,"It does not match the image : It is advertised as ""Screen Protector for Xiaomi Redmi Note 5"", with an image that does not correspond to the sent protector. It also does not fit properly to the mobile screen.","No se corresponde con la imagen : Se publicita como ""Protector de Pantalla para Xiaomi Redmi Note 5"", con una imagen que no se corresponde con el protector enviado. Además no se ajusta correctamente a la pantalla del móvil."
es_0376705,1,wireless,Uncomfortable : It does not fit well and when you write it you notice that there is air between the screen and the front housing with which the touch of the screen does not react well. It is also filled very quickly with dust.,Incómoda : No ajusta bien y cuando escribes se nota que hay aire entre la pantalla y la carcasa delantera con lo que el táctil de la pantalla no reacciona bien. También se llena muy rápido de polvo.No la recomiendo.
es_0385478,1,wireless,Useless : A scam is useless.,Inútil : Una estafa no sirve para nada.
es_0470884,1,shoes,Don't buy! : Comfortable. But feet sweat a lot and at the end - mushrooms. Just to go in the bathroom. Not recommended! Too bad!,No compres! : Cómodas. Pero los pies sudan mucho y al final - hongos. Sólo para ir en el baño. No recomendable! Que pena!
es_0698310,1,sports,"Quality 0, a robbery! : I didn't like anything, zero quality looks like this all stuck glue and it's silicone, it carries a double-faced tape you paste it and then you put it on and I had to remove it it stays loose it doesn't stick anything, and for what it is worth it is a robbery!","Calidad 0, un robo! : No me ha gustado nada, calidad cero parece que este todo pringado de pegamento y es la silicona, lleva una cinta de doble cara lo pegas y luego lo pones encima y lo he tenido que quitar se queda suelto no pega nada, y para lo que vale es un robo!"
es_0968808,1,kitchen,"I arrived broken. : I arrived broken... The top lid was open and could not be closed. When I wanted to change it for another, the price in Amazon had changed and they did not respect the initial.","Llego roto. : Llego roto... La tapa de arriba estaba abierta y no se podia cerrar. Al querer cambiarlo por otro, el precio en amazon habia cambiado y no respetaban el inicial"
es_0476280,1,pc,"Product with wrong operation : It looks like a good product if it works well. Being in your hands works a thousand wonders, but if you support it on the table and try to handle the touchpad, it does not work. Ada well, and make clicks ""ghost""","Producto con funcionamiento erróneo : Parece un buen producto si funcionase bien. Estando en tus manos funciona a las mil maravillas,pero si lo apoyas en la mesa e intentas manejar el touchpad ,no funciona. Ada bien, y realiza clicks ""fantasma"""
es_0102115,1,automotive,"Tear the scam : It has arrived broken, the quality rubs the scam","Roza la estafa : Ha llegado roto, la calidad roza la estafa"
es_0533459,1,camera,"Disappointed with transport : I have arrived without packaging, the box of the frame with stickers directly attached. I am surprised. Nor was it closed hermetic, that is, with a small piece of tape without much security.. We do not know if it has been opened along the way or manipulated... It does not seem correct. The star is for this reason because I have not tried it yet. Dissatisfied with the transport.","Decepcionada con el transporte : Me ha llegado sin embalaje, la caja del marco con las pegatinas directamente pegadas. Me sorprende. Tampoco estaba cerrada hermética, es decir, con un trozo de cinta pequeño sin mucha seguridad.. No sabemos si se ha abierto por el camino o se ha manipulado... No me parece correcto. La estrella es por este motivo porque no la he probado aún. Descontenta con el transporte."
es_0869801,1,wireless,Poor Quality : After putting the protector I see that in short time it breaks with the following crack,Mala Calidad : Despues de poner el protector veo que se en corto tiempo se rompe con la siguiente raja
es_0721300,1,drugstore,It does not meet objective : I do not notice its supposed effects.,No cumple objetivo : No noto sus supuestos efectos.
es_0602444,1,home,"I don't know because I never get it: it has to be very nice vinyl, because of the drawings that are seen because I have never had it in my hand, I don't trust this seller, he has kept the money and I haven't seen anything","no lo se porque nunca me llego : tiene que ser muy bonito el vinilo,por los dibujos que se ven porque yo en la mano no lo he tenido nunca,no confio en este vendedor,se ha quedado con el dinero y yo no he visto nada"
es_0372538,2,toy,Not recommended : I bought this product and I had to change it twice because there was always some dry marker... In the end I chose to return it and buy another brand.,No recomendable : He comprado este producto y lo he tenido que cambiar en dos ocasiones porque siempre venía algún rotulador seco... Al final he optado por devolverlo y comprar otra marca.
es_0328403,2,apparel,Smaller size than the xxl : It is very fair and the fabric is not at all a bit elastic,Talla más pequeña que la xxl : Queda muy justo y la tela no es para nada un poco elástica
es_0174403,2,baby_product,"Narrow : Bed barrier for bed of 90cm. It is well high, but it is rather narrow. I have another q is almost double wide. Besides it has some buttons q you can go down and up. This, besides being narrow, does not go up and down, it is fixed. If I had seen it before buying it, I would buy another one.","Estrecha : Barrera de cama para cama de 90cm. Esta bien de altura, pero es mas bien estrecha. Yo tengo otra q es casi el doble de ancha. Ademas tiene unos botones q se puede bajar y subir. Esta, ademas de ser estrecha, no sube y baja, es fija. Si la hubiera visto antes de comprarla, compraria otra."
es_0771392,2,home,It has broken. : After less than 6 months of use (once or twice a week) the zipper has broken.I am a pretty careful person with my things and at first I was very happy with the service that offered me but when breaking the main zipper I am not going to use it.I do not know if there is guarantee on the part of the brand or how it works.,Se ha roto. : Después de menos de 6 meses de uso (una o dos veces por semana) la cremallera se ha roto.Soy una persona bastante cuidadosa con mis cosas y en un principio estaba muy contento con el servicio que me ofrecía pero al romperse la cremallera principal no le voy a dar uso. No sé si existe garantía por parte de la marca o como funciona.
es_0221835,2,wireless,Little or almost zero battery : I didn't like the little battery it has. And you always have to have it connected to the current,Poco o casi nula bateria : No me ha gustado la poca bateria que tiene. Y que siempre la tienes que tener conectada a la corriente
es_0805191,2,wireless,The warranty does not answer : Within a few days the coloration of the screen failed. I have communicated it to vds. I have made a complaint to the seller (English company). To date no one has responded to give any solution.,La garantia no responde : A los pocos días fallo la coloración de la pantalla. Se lo comunique a vds. he hice un escrito de reclamación al vendedor (empresa inglesa). Hasta la fecha nadie ha respondido para dar alguna solución.
es_0524365,2,pc,"Fragile : Maintains compatibility, but breaks easily","Frágil : Mantiene la compatibilidad, pero se rompen con facilidad"
es_0308931,2,wireless,It broke the first day : On the first day I put the cover one of the magnets fell and the cover didn't close well. so the phone fell. I also thought it also had protector on the screen and it wasn't like that.,Se rompió el primer día : El primer día que puse la funda uno de los imanes de cayó y ya la funda no cerraba bien. con lo que el móvil se caía. Además pensaba que también tenia protector en la pantalla y no era así.
