id,date,renderedContent,likeCount,retweetCount,replyCount,hashtags
1644676160402358276,2023-04-08 12:18:47+00:00,"Currently 37 elite nfts remain at cryptopia 👀  $10k GUARANTEED ALLOCATIONS in top tier 1 projects DYOR #ai #VentureCapital #elitenft #NFTs #No1  Secure yours now\, To not be disappointed 🔥  MORE INFO AT @Cryptopia_ytube  Tg group t.me/cryptopia_yout… NFA 😉 https://t.co/jmD8Vsct93",1116,1121,28,"['ai', 'VentureCapital', 'elitenft', 'NFTs', 'No1']"
1644672362489475077,2023-04-08 12:03:42+00:00,"#ChainGPT 🤖 - an advanced #AI model designed for Web3\, blockchain\, and cryptocurrency.  ⚡️ ChainGPT | $CGPT Token #Listing - April 10th\, 12:00 UTC. 5 out of 6 Exchanges:  👉 ???? 👉 Bybit 👉 Gate.io 👉 MEXC 👉 Bitget 👉 PancakeSwap https://t.co/cUALVPMddA",2991,431,203,"['ChainGPT', 'AI', 'Listing']"
1644408082187911168,2023-04-07 18:33:33+00:00,$HYPE @Hype_DeFi #BSC Stealth Launch TODAY on Pancakeswap  1st #AI powered reward token where you aren’t restricted to one coin as reward  Tg: t.me/Hype_Portal  By holding you’re rewarded a daily dividend  U claim from the rewards pool &amp; from their AI-powered token list:… https://t.co/qsatBfFQea,270,223,153,"['BSC', 'AI']"
1644397906504327169,2023-04-07 17:53:07+00:00,"What a great first #AI IDO! 🔥  @Chain_GPT FCFS round has been successfully completed\, with users receiving an extra 0.75x allocation.  Thanks to the community’s feedback\, the FCFS round was surely widely distributed this time! 🦾  Stay tuned for the $CGPT listing on April 10! 🚀 https://t.co/zmb7R4FU88",2673,346,62,['AI']
1644387522892398601,2023-04-07 17:11:51+00:00,"A huge giveaway! $500 worth of CGPT Token for 5 lucky winners\, $100 worth of $CGPT each. Follow the easy tasks on the link below. We will announce 5 winners on 12th of April at 11.00 pm (UTC)! #ChainGPT #AI #IDO #Web3   gleam.io/IurXW/castrum-…",135,168,52,"['ChainGPT', 'AI', 'IDO', 'Web3']"
1644357601889771520,2023-04-07 15:12:57+00:00,Hospital - Part 1  #AIArt #AIイラスト #stablediffusion #WaifuDiffusion #AI #AIArtworks https://t.co/Neij08yrYo,9032,917,33,"['AIArt', 'AIイラスト', 'stablediffusion', 'WaifuDiffusion', 'AI', 'AIArtworks']"
1644345700313104384,2023-04-07 14:25:40+00:00,It's official IDO time for @Chain_GPT   IDO phase 1 now on going @SeedifyFund   $CGPT is advanced #AI model explicitly designed for Blockchain Technology and Crypto-related topics.    ⌛️Phase 1 - 1 pm to 3 pm UTC   ⌛️Phase 2 (FCFS) - 5 pm UTC https://t.co/SYcvmEM0Mb,2321,2358,66,['AI']
1644340292240408577,2023-04-07 14:04:10+00:00,Always looks perfect  #StableDiffusion #ChilloutMix #AI #AIphotography #AIart #AIgirl https://t.co/HmXq6KoBMH,3199,154,33,"['StableDiffusion', 'ChilloutMix', 'AI', 'AIphotography', 'AIart', 'AIgirl']"
1644335371793362944,2023-04-07 13:44:37+00:00,We decided to ask ChatGPT what the best IPL XL of all-time is 🏏  Do you agree with the results? 🤔  #rohitsharma #davidwarner #viratkohli #sureshraina #abdevilliers #hardikpandya #sunilnarine #bhuvneshwarkumar #jaspritbumrah #lasithmalinga #ipl2023 #chatgpt #cricket #ipl https://t.co/V7PJ7prwsA,6294,371,456,"['rohitsharma', 'davidwarner', 'viratkohli', 'sureshraina', 'abdevilliers', 'hardikpandya', 'sunilnarine', 'bhuvneshwarkumar', 'jaspritbumrah', 'lasithmalinga', 'ipl2023', 'chatgpt', 'cricket', 'ipl']"
1644300549054152705,2023-04-07 11:26:15+00:00,A sneak peek of what's coming next at Delysium    A virtual world where 1 billion individuals and 100 billion #AI Virtual Beings live together    You are not alone. https://t.co/9MNAJmZ9td,529,321,151,['AI']
1644296898906566658,2023-04-07 11:11:44+00:00,"🚀🔥 #FlexMeme $FLEX is the next big thing in the cryptocurrency world! With its shapeshifting meme technology powered by #AI\, this token is breaking new ground and constantly adapting to the latest trends. Its dynamic feature sets it apart from other cryptocurrencies\, making it… https://t.co/HUGnGXZarm",290,281,25,"['FlexMeme', 'AI']"
1644293997186150400,2023-04-07 11:00:13+00:00,`VPN` searches in Italy since the #ChatGPT ban! 😱 https://t.co/rb5GJnZFNT,1637,243,52,['ChatGPT']
